"FishID","GEN","GenRKM","Region","min_time","year"
"SB2023-097","Releasepoint",290.685625,"Butte Ck",2023-04-14 15:45:00,2023
"SB2023-097","Sacramento",150.086666666667,"Lower Sac R",2023-04-21 21:55:45,2023
"SB2023-097","Endpoint",61.815,"End",2023-04-25 18:02:09,2023
"SB2023-098","Releasepoint",290.685625,"Butte Ck",2023-04-14 15:45:00,2023
"UB2019-001","Releasepoint",290.685625,"Butte Ck",2019-05-09 16:00:00,2019
"UB2019-002","Releasepoint",290.685625,"Butte Ck",2019-05-09 16:00:00,2019
"UB2019-003","Releasepoint",290.685625,"Butte Ck",2019-05-09 16:00:00,2019
"UB2019-004","Releasepoint",290.685625,"Butte Ck",2019-05-09 16:00:00,2019
"UB2019-005","Releasepoint",290.685625,"Butte Ck",2019-05-09 16:00:00,2019
"UB2019-006","Releasepoint",290.685625,"Butte Ck",2019-05-09 16:00:00,2019
"UB2019-007","Releasepoint",290.685625,"Butte Ck",2019-05-09 16:00:00,2019
"UB2019-008","Releasepoint",290.685625,"Butte Ck",2019-05-09 16:00:00,2019
"UB2019-009","Releasepoint",290.685625,"Butte Ck",2019-05-09 16:00:00,2019
"UB2019-010","Releasepoint",290.685625,"Butte Ck",2019-05-09 16:00:00,2019
"UB2019-011","Releasepoint",290.685625,"Butte Ck",2019-05-09 16:00:00,2019
"UB2019-012","Releasepoint",290.685625,"Butte Ck",2019-05-09 16:00:00,2019
"UB2019-013","Releasepoint",290.685625,"Butte Ck",2019-05-09 16:00:00,2019
"UB2019-014","Releasepoint",290.685625,"Butte Ck",2019-05-09 16:00:00,2019
"UB2019-015","Releasepoint",290.685625,"Butte Ck",2019-05-14 16:00:00,2019
"UB2019-015","Sacramento",150.086666666667,"Lower Sac R",2019-05-21 07:00:22,2019
"UB2019-015","Endpoint",61.815,"End",2019-05-23 17:37:45,2019
"UB2019-016","Releasepoint",290.685625,"Butte Ck",2019-05-14 16:00:00,2019
"UB2019-017","Releasepoint",290.685625,"Butte Ck",2019-05-14 16:00:00,2019
"UB2019-018","Releasepoint",290.685625,"Butte Ck",2019-05-14 16:00:00,2019
"UB2019-018","Sacramento",150.086666666667,"Lower Sac R",2019-05-24 05:02:27,2019
"UB2019-019","Releasepoint",290.685625,"Butte Ck",2019-05-14 16:00:00,2019
"UB2019-019","Sacramento",150.086666666667,"Lower Sac R",2019-05-28 12:04:17,2019
"UB2019-019","Endpoint",61.815,"End",2019-06-01 17:00:00,2019
"UB2019-020","Releasepoint",290.685625,"Butte Ck",2019-05-14 16:00:00,2019
"UB2019-021","Releasepoint",290.685625,"Butte Ck",2019-05-14 16:00:00,2019
"UB2019-021","Sacramento",150.086666666667,"Lower Sac R",2019-05-20 15:59:38,2019
"UB2019-022","Releasepoint",290.685625,"Butte Ck",2019-05-14 16:00:00,2019
"UB2019-023","Releasepoint",290.685625,"Butte Ck",2019-05-14 16:00:00,2019
"UB2019-024","Releasepoint",290.685625,"Butte Ck",2019-05-14 16:00:00,2019
"UB2019-024","Sacramento",150.086666666667,"Lower Sac R",2019-05-20 14:44:44,2019
"UB2019-025","Releasepoint",290.685625,"Butte Ck",2019-05-14 16:00:00,2019
"UB2019-025","Sacramento",150.086666666667,"Lower Sac R",2019-05-20 15:11:40,2019
"UB2019-026","Releasepoint",290.685625,"Butte Ck",2019-05-14 16:00:00,2019
"UB2019-027","Releasepoint",290.685625,"Butte Ck",2019-05-14 16:00:00,2019
"UB2019-027","Sacramento",150.086666666667,"Lower Sac R",2019-05-21 15:03:06,2019
"UB2019-028","Releasepoint",290.685625,"Butte Ck",2019-05-14 16:00:00,2019
"UB2019-028","Sacramento",150.086666666667,"Lower Sac R",2019-05-23 19:13:37,2019
"UB2019-029","Releasepoint",290.685625,"Butte Ck",2019-05-14 16:00:00,2019
"UB2019-030","Releasepoint",290.685625,"Butte Ck",2019-05-14 16:00:00,2019
"UB2019-031","Releasepoint",290.685625,"Butte Ck",2019-05-14 16:00:00,2019
"UB2020-001","Releasepoint",290.685625,"Butte Ck",2020-05-16 16:00:00,2020
"UB2020-002","Releasepoint",290.685625,"Butte Ck",2020-05-16 16:00:00,2020
"UB2020-003","Releasepoint",290.685625,"Butte Ck",2020-05-16 16:00:00,2020
"UB2020-004","Releasepoint",290.685625,"Butte Ck",2020-05-16 16:00:00,2020
"UB2020-005","Releasepoint",290.685625,"Butte Ck",2020-05-16 16:00:00,2020
"UB2020-006","Releasepoint",290.685625,"Butte Ck",2020-05-16 16:00:00,2020
"UB2020-007","Releasepoint",290.685625,"Butte Ck",2020-05-16 16:00:00,2020
"UB2020-008","Releasepoint",290.685625,"Butte Ck",2020-05-16 16:00:00,2020
"UB2020-009","Releasepoint",290.685625,"Butte Ck",2020-05-16 16:00:00,2020
"UB2020-010","Releasepoint",290.685625,"Butte Ck",2020-05-16 16:00:00,2020
"UB2020-011","Releasepoint",290.685625,"Butte Ck",2020-05-16 16:00:00,2020
"UB2020-012","Releasepoint",290.685625,"Butte Ck",2020-05-16 16:00:00,2020
"UB2020-013","Releasepoint",290.685625,"Butte Ck",2020-05-16 16:00:00,2020
"UB2020-014","Releasepoint",290.685625,"Butte Ck",2020-05-16 16:00:00,2020
"UB2020-015","Releasepoint",290.685625,"Butte Ck",2020-05-19 16:00:00,2020
"UB2020-016","Releasepoint",290.685625,"Butte Ck",2020-05-19 16:00:00,2020
"UB2020-017","Releasepoint",290.685625,"Butte Ck",2020-05-19 16:00:00,2020
"UB2020-018","Releasepoint",290.685625,"Butte Ck",2020-05-19 16:00:00,2020
"UB2020-019","Releasepoint",290.685625,"Butte Ck",2020-05-19 16:00:00,2020
"UB2020-020","Releasepoint",290.685625,"Butte Ck",2020-05-19 16:00:00,2020
"UB2020-021","Releasepoint",290.685625,"Butte Ck",2020-05-19 16:00:00,2020
"UB2020-022","Releasepoint",290.685625,"Butte Ck",2020-05-19 16:00:00,2020
"UB2020-023","Releasepoint",290.685625,"Butte Ck",2020-05-19 16:00:00,2020
"UB2021-001","Releasepoint",290.685625,"Butte Ck",2021-04-20 16:00:00,2021
"UB2021-002","Releasepoint",290.685625,"Butte Ck",2021-04-20 16:00:00,2021
"UB2021-003","Releasepoint",290.685625,"Butte Ck",2021-04-20 16:00:00,2021
"UB2021-004","Releasepoint",290.685625,"Butte Ck",2021-04-20 16:00:00,2021
"UB2021-005","Releasepoint",290.685625,"Butte Ck",2021-04-20 16:00:00,2021
"UB2021-006","Releasepoint",290.685625,"Butte Ck",2021-04-20 16:00:00,2021
"UB2021-007","Releasepoint",290.685625,"Butte Ck",2021-04-20 16:00:00,2021
"UB2021-008","Releasepoint",290.685625,"Butte Ck",2021-04-20 16:00:00,2021
"UB2021-009","Releasepoint",290.685625,"Butte Ck",2021-04-20 16:00:00,2021
"UB2021-010","Releasepoint",290.685625,"Butte Ck",2021-04-20 16:00:00,2021
"UB2021-011","Releasepoint",290.685625,"Butte Ck",2021-04-20 16:00:00,2021
"UB2021-012","Releasepoint",290.685625,"Butte Ck",2021-04-20 16:00:00,2021
"UB2021-013","Releasepoint",290.685625,"Butte Ck",2021-04-20 16:00:00,2021
"UB2021-014","Releasepoint",290.685625,"Butte Ck",2021-04-20 16:00:00,2021
"UB2021-015","Releasepoint",290.685625,"Butte Ck",2021-04-20 16:00:00,2021
"UB2021-016","Releasepoint",290.685625,"Butte Ck",2021-04-20 16:00:00,2021
"UB2021-017","Releasepoint",290.685625,"Butte Ck",2021-04-20 16:00:00,2021
"UB2021-018","Releasepoint",290.685625,"Butte Ck",2021-04-20 16:00:00,2021
"UB2021-019","Releasepoint",290.685625,"Butte Ck",2021-04-20 16:00:00,2021
"UB2021-020","Releasepoint",290.685625,"Butte Ck",2021-04-20 16:00:00,2021
"UB2021-021","Releasepoint",290.685625,"Butte Ck",2021-04-20 16:00:00,2021
"UB2021-022","Releasepoint",290.685625,"Butte Ck",2021-04-20 16:00:00,2021
"UB2021-023","Releasepoint",290.685625,"Butte Ck",2021-04-20 16:00:00,2021
"UB2021-024","Releasepoint",290.685625,"Butte Ck",2021-04-20 16:00:00,2021
"UB2021-025","Releasepoint",290.685625,"Butte Ck",2021-04-20 16:00:00,2021
