"group_index","release_group_id","year","month","release_location_name","relloc_area","mean","sd","2.5%","50%","97.5%","n_eff","Rhat"
168,214,2004,4,"BATTLE CREEK BELOW CNFH","Battle",0.72226311569308,0.116935695290226,0.486198161517081,0.730889116561376,0.925340816399767,360.133718183986,1.01055387707327
169,2782,2005,2,"SAC R RED BLUFF DIV DAM","RBDD",0.461886185232064,0.12379533467994,0.234499268647964,0.457340322163968,0.715567778033961,505.816003760701,1.00473237696271
170,2780,2005,3,"SAC R RED BLUFF DIV DAM","RBDD",0.0936754719699401,0.0853636584923031,0.00586419922235277,0.0680375492612691,0.320368599362613,1448.61616990452,1.00111125734065
171,2781,2005,3,"SAC R RED BLUFF DIV DAM","RBDD",0.297587256721541,0.146880754229055,0.0755555021999948,0.276418920306797,0.649236154795435,810.259919962191,1.00479667540289
172,2776,2006,2,"SAC R RED BLUFF DIV DAM","RBDD",0.248623678680465,0.137356850133702,0.0546762103310685,0.225484889178927,0.595429204021207,952.86955330699,1.0041785110149
173,2777,2006,2,"SAC R RED BLUFF DIV DAM","RBDD",0.554277394143345,0.150481208843447,0.266241571522233,0.557101653205146,0.835407155461955,869.199344638484,1.00012567982834
174,2778,2006,2,"SAC R RED BLUFF DIV DAM","RBDD",0.0982559611537435,0.0663727320484304,0.0153975556637696,0.0840316984668556,0.269607710746727,1399.93425710536,0.9995725372137
175,2787,2007,3,"SAC R RED BLUFF DIV DAM","RBDD",0.0200258503632646,0.0337681601880561,6.53883734560504e-05,0.00659204190744798,0.115328734932087,1448.47144180172,0.999025222694459
176,2789,2007,3,"SAC R RED BLUFF DIV DAM","RBDD",0.0226478010437839,0.0416506759537302,7.71708042844237e-05,0.00741434467068511,0.127289703541626,1353.68574861979,1.00427176336031
177,2790,2007,3,"SAC R RED BLUFF DIV DAM","RBDD",0.0232136604047894,0.0374634766462836,6.79407913687997e-05,0.00766585979621948,0.135057591922275,1728.7013656441,0.998859723458616
178,2791,2007,3,"SAC R RED BLUFF DIV DAM","RBDD",0.0221543207860316,0.0359430365924467,9.82342736235687e-05,0.00765186695059242,0.137147160409717,1401.35564690773,1.00048683017403
179,2783,2008,3,"SAC R RED BLUFF DIV DAM","RBDD",0.0160865024851912,0.031847048012991,3.33546707248973e-05,0.00445437518631507,0.0992863828289088,1430.6903847983,0.999562344224493
180,2784,2008,3,"SAC R RED BLUFF DIV DAM","RBDD",0.0170599983004885,0.0331649558983078,6.52172093088293e-05,0.00490386255831467,0.120790439117795,1426.74805677368,0.998919456645013
181,2785,2008,3,"SAC R RED BLUFF DIV DAM","RBDD",0.0113304468312282,0.0188045960923233,4.24551283343977e-05,0.00427346357055267,0.0649266866004587,1312.47358497049,0.998410459419651
182,435,2009,4,"COLEMAN NFH","Battle",0.0446017283786409,0.0311774343958502,0.00561850602133707,0.0363357087568533,0.122829792566696,1229.29699146835,0.999471546133058
183,527,2009,4,"COLEMAN NFH","Battle",0.0476525405966019,0.030900375834022,0.00840513864393111,0.040807313719289,0.120856567806862,940.301749938404,1.00222647610456
184,530,2009,4,"COLEMAN NFH","Battle",0.109591382782817,0.0499125345484914,0.0354200939041266,0.101212931391017,0.22867781771862,970.464843144437,1.00540338384572
185,601,2009,4,"COLEMAN NFH","Battle",0.369803444945548,0.0983291634898879,0.206660879264437,0.359853115334134,0.583637026512018,343.202647538284,1.00720951874327
186,649,2009,4,"COLEMAN NFH","Battle",0.324892737983329,0.0901640072086675,0.181290208185833,0.315646412837407,0.532400645677798,466.757374663083,1.00443256269624
187,651,2009,4,"COLEMAN NFH","Battle",0.190725875422521,0.0603947739553663,0.0955583541568908,0.183916923785514,0.327119274033278,841.874374382793,1.00336939388301
